index	left	right	given	chi^2	p	dof	Holm–Bonferroni level	flagged
47	hgnc:12933	hgnc:8893	hgnc:4854	0.0	0		0.025	True
48	hgnc:4983	hgnc:6553	hgnc:8743	0.0	0		0.016666666666666666	True
48	hgnc:7173	hgnc:8743	hgnc:4983|hgnc:6553	0.0	0		0.025	True
49	hgnc:4983	hgnc:6553	hgnc:8743	0.0	0		0.016666666666666666	True
49	hgnc:7173	hgnc:8743	hgnc:4983|hgnc:6553	0.0	0		0.025	True
50	hgnc:4983	hgnc:6553	hgnc:8743	0.0	0		0.016666666666666666	True
50	hgnc:7173	hgnc:8743	hgnc:4983|hgnc:6553	0.0	0		0.025	True
51	hgnc:4983	hgnc:6553	hgnc:8743	0.0	0		0.016666666666666666	True
51	hgnc:7173	hgnc:8743	hgnc:4983|hgnc:6553	0.0	0		0.025	True
52	hgnc:19157	hgnc:7173	hgnc:11848|hgnc:18129	0.0	0		0.016666666666666666	True
52	hgnc:11848	hgnc:18129	hgnc:19157	0.0	0		0.025	True
53	hgnc:11377	hgnc:7670	hgnc:7969	0.0	0		0.016666666666666666	True
53	hgnc:7176	hgnc:7969	hgnc:11377|hgnc:7670	0.0	0		0.025	True
54	hgnc:6553	hgnc:6735	hgnc:11919	0.0	0		0.016666666666666666	True
54	hgnc:11919	hgnc:7515	hgnc:6553|hgnc:6735	0.0	0		0.025	True
55	hgnc:6553	hgnc:6735	hgnc:11919	0.0	0		0.016666666666666666	True
55	hgnc:11919	hgnc:7515	hgnc:6553|hgnc:6735	0.0	0		0.025	True
56	hgnc:11364	hgnc:21528	hgnc:5329	0.0	0		0.016666666666666666	True
56	hgnc:5329	hgnc:7795	hgnc:11364|hgnc:21528	0.0	0		0.025	True
57	hgnc:18129	hgnc:5973	hgnc:11910	0.0	0		0.016666666666666666	True
57	hgnc:11910	hgnc:7873	hgnc:18129|hgnc:5973	0.0	0		0.025	True
58	hgnc:18129	hgnc:5973	hgnc:11910	0.0	0		0.016666666666666666	True
58	hgnc:11910	hgnc:7873	hgnc:18129|hgnc:5973	0.0	0		0.025	True
59	hgnc:3113	hgnc:6769	hgnc:7980	0.0	0		0.016666666666666666	True
59	hgnc:7980	hgnc:8620	hgnc:3113|hgnc:6769	0.0	0		0.025	True
60	hgnc:4983	hgnc:6553	hgnc:8743	0.0	0		0.016666666666666666	True
60	hgnc:8729	hgnc:8743	hgnc:4983|hgnc:6553	0.0	0		0.025	True
61	hgnc:14900	hgnc:6522	hgnc:5141	0.0	0		0.016666666666666666	True
61	hgnc:5141	hgnc:8748	hgnc:14900|hgnc:6522	0.0	0		0.025	True
62	hgnc:19986	hgnc:8784	hgnc:11652|hgnc:333	0.0	0		0.016666666666666666	True
62	hgnc:11652	hgnc:333	hgnc:19986	0.0	0		0.025	True
63	hgnc:19986	hgnc:8784	hgnc:11652|hgnc:333	0.0	0		0.016666666666666666	True
63	hgnc:11652	hgnc:333	hgnc:19986	0.0	0		0.025	True
64	hgnc:3113	hgnc:9051	hgnc:10848|hgnc:28961	0.0	0		0.016666666666666666	True
64	hgnc:10848	hgnc:28961	hgnc:3113	0.0	0		0.025	True
65	hgnc:6584	hgnc:8038	hgnc:3238	0.0	0		0.016666666666666666	True
65	hgnc:3238	hgnc:932	hgnc:6584|hgnc:8038	0.0	0		0.025	True
66	hgnc:19680	hgnc:602	hgnc:9748	0.0	0		0.016666666666666666	True
66	hgnc:932	hgnc:9748	hgnc:19680|hgnc:602	0.0	0		0.025	True
67	hgnc:2707	hgnc:9437	hgnc:259|hgnc:4004	0.0	0		0.016666666666666666	True
67	hgnc:259	hgnc:4004	hgnc:2707	0.0	0		0.025	True
68	hgnc:190	hgnc:9611	hgnc:11822|hgnc:3221	0.0	0		0.016666666666666666	True
68	hgnc:11822	hgnc:3221	hgnc:190	0.0	0		0.025	True
69	hgnc:12716	hgnc:9958	hgnc:4191|hgnc:9607	0.0	0		0.016666666666666666	True
69	hgnc:4191	hgnc:9607	hgnc:12716	0.0	0		0.025	True
70	hgnc:10293	hgnc:9236	hgnc:11517|hgnc:7562	0.0	0		0.016666666666666666	True
70	hgnc:11517	hgnc:7562	hgnc:9236	0.0	0		0.025	True
71	hgnc:10620	hgnc:8748	hgnc:11927|hgnc:9605	0.0	0		0.016666666666666666	True
71	hgnc:11927	hgnc:9605	hgnc:8748	0.0	0		0.025	True
72	hgnc:10637	hgnc:644	hgnc:11120|hgnc:8506	0.0	0		0.016666666666666666	True
72	hgnc:11120	hgnc:8506	hgnc:644	0.0	0		0.025	True
73	hgnc:10864	hgnc:18348	hgnc:2515	0.0	0		0.016666666666666666	True
73	hgnc:10809	hgnc:2515	hgnc:10864|hgnc:18348	0.0	0		0.025	True
74	hgnc:11138	hgnc:11768	hgnc:11778|hgnc:6364	0.0	0		0.016666666666666666	True
