R	U	V	W	X	Y
b3512	b1013	b2664 // b2217	b3516	b3512	b3507
b3512	b1013	b2217	b3516	b3512	b3506
b3512	b1013	b2217	b3516	b3512	b4131
b3512	b1013	b2217	b3516	b3512	b4132
b3512	b1013	b0399 // b2217	b3516	b3512	b4115
b3512	b1013	b4116 // b2217 // b3261 // b0995 // b1334	b3516	b3512	b3517
b3512	b1334	b2217 // b0995	b3516	b3512	b3508
b3512	b1334	b2217 // b0995	b3516	b3512	b3509
b3512	b1334	b2217 // b0995	b3516	b3512	b3510
b3512	b1334	b2217	b3516	b3512	b3511
b3512	b1334	b2217	b3516	b3512	b1951
b3512	b1334	b4116 // b2217 // b3261	b3516	b3512	b1492
b3512	b1334	b4116 // b2217 // b3261	b3516	b3512	b1493
b3512	b1334	b2217	b3516	b3512	b3491
b3512	b1334	b2217	b3516	b3512	b3800
b3512	b1334	b2664 // b2217	b3516	b3512	b3507
b3512	b1334	b2217	b3516	b3512	b3506
b3512	b1334	b2217	b3516	b3512	b4131
b3512	b1334	b2217	b3516	b3512	b4132
b3512	b1334	b0399 // b2217	b3516	b3512	b4115
b3512	b1916	b1334	b3515	b3512	b2029
b3512	b1916	b1334	b3515	b3512	b0428
b3512	b1916	b1334	b3515	b3512	b0429
b3512	b1916	b1334	b3515	b3512	b0430
b3512	b1916	b1334	b3515	b3512	b0431
b3512	b1916	b1334	b3515	b3512	b0432
b3512	b1916	b1334	b3515	b3512	b3212
b3512	b1916	b1334	b3515	b3512	b3213
b3512	b1916	b1334 // b2664	b3515	b3512	b3214
b3512	b1916	b2664	b3515	b3512	b3507
b3512	b1916	b0399	b3515	b3512	b4115
b3512	b1916	b0399 // b1013 // b1334 // b2664	b3515	b3512	b3516
b3512	b1916	b1334	b3515	b3512	b3517
b3512	b4452	b1334	b3515	b3512	b2029
b3512	b4452	b1334	b3515	b3512	b0428
b3512	b4452	b1334	b3515	b3512	b0429
b3512	b4452	b1334	b3515	b3512	b0430
b3512	b4452	b1334	b3515	b3512	b0431
b3512	b4452	b1334	b3515	b3512	b0432
b3512	b4452	b1334	b3515	b3512	b3212
b3512	b4452	b1334	b3515	b3512	b3213
b3512	b4452	b1334 // b2664	b3515	b3512	b3214
b3512	b4452	b2664	b3515	b3512	b3507
b3512	b4452	b0399	b3515	b3512	b4115
b3512	b4452	b1334	b3515	b3512	b3517
b3512	b0399	b1334	b3515	b3512	b2029
b3512	b0399	b1334	b3515	b3512	b0428
b3512	b0399	b1334	b3515	b3512	b0429
b3512	b0399	b1334	b3515	b3512	b0430
b3512	b0399	b1334	b3515	b3512	b0431
b3512	b0399	b1334	b3515	b3512	b0432
b3512	b0399	b1334	b3515	b3512	b3212
b3512	b0399	b1334	b3515	b3512	b3213
b3512	b0399	b1334 // b2664	b3515	b3512	b3214
b3512	b0399	b2664	b3515	b3512	b3507
b3512	b0399	b1334	b3515	b3512	b3517
b3512	b1013	b1334	b3515	b3512	b2029
b3512	b1013	b1334	b3515	b3512	b0428
b3512	b1013	b1334	b3515	b3512	b0429
b3512	b1013	b1334	b3515	b3512	b0430
b3512	b1013	b1334	b3515	b3512	b0431
b3512	b1013	b1334	b3515	b3512	b0432
b3512	b1013	b1334	b3515	b3512	b3212
b3512	b1013	b1334	b3515	b3512	b3213
b3512	b1013	b1334 // b2664	b3515	b3512	b3214
b3512	b1013	b2664	b3515	b3512	b3507
b3512	b1013	b0399	b3515	b3512	b4115
b3512	b1013	b1334	b3515	b3512	b3517
b3512	b1334	b2664	b3515	b3512	b3507
b3512	b1334	b0399	b3515	b3512	b4115
b3512	b2664	b1334	b3515	b3512	b2029
b3512	b2664	b1334	b3515	b3512	b0428
b3512	b2664	b1334	b3515	b3512	b0429
b3512	b2664	b1334	b3515	b3512	b0430
b3512	b2664	b1334	b3515	b3512	b0431
b3512	b2664	b1334	b3515	b3512	b0432
b3512	b2664	b1334	b3515	b3512	b3212
b3512	b2664	b1334	b3515	b3512	b3213
b3512	b2664	b0399	b3515	b3512	b4115
b3512	b2664	b1334	b3515	b3512	b3517
b3512	b2217	b2664	b1499	b3512	b3515
b3512	b2217	b2664	b1499	b3512	b3214
b3512	b2664	b2217	b1499	b3512	b3508
b3512	b2664	b2217	b1499	b3512	b3509
b3512	b2664	b2217	b1499	b3512	b3510
b3512	b2664	b2217	b1499	b3512	b3511
b3512	b2664	b2217	b1499	b3512	b1951
b3512	b2664	b2217	b1499	b3512	b1492
b3512	b2664	b2217	b1499	b3512	b1493
b3512	b2664	b2217	b1499	b3512	b3491
b3512	b2664	b2217	b1499	b3512	b3800
b3512	b2664	b2217	b1499	b3512	b3506
b3512	b2664	b2217	b1499	b3512	b4131
b3512	b2664	b2217	b1499	b3512	b4132
b3512	b2664	b2217	b1499	b3512	b4115
b3512	b2664	b2217	b1499	b3512	b3517
b3512	b3868	b1334	b1988	b3512	b3515
b3512	b3868	b0683 // b1334	b1988	b3512	b2029
b3512	b3868	b0683 // b1334	b1988	b3512	b0428
b3512	b3868	b0683 // b1334	b1988	b3512	b0429
b3512	b3868	b0683 // b1334	b1988	b3512	b0430
b3512	b3868	b0683 // b1334	b1988	b3512	b0431
b3512	b3868	b0683 // b1334	b1988	b3512	b0432
b3512	b3868	b0683 // b1334	b1988	b3512	b3212
b3512	b3868	b0683 // b1334	b1988	b3512	b3213
b3512	b3868	b0683 // b1334	b1988	b3512	b3214
b3512	b3868	b1334	b1988	b3512	b3516
b3512	b3868	b1334	b1988	b3512	b3517
b3512	b1892	b4178	b1921	b3512	b0889
b3512	b1891	b4178	b1921	b3512	b0889
b3512	b1712	b0294	b1921	b3512	b1923
b3512	b0912	b0294	b1921	b3512	b1923
b3512	b0912	b4178	b1921	b3512	b0889
b3512	b1434	b0294	b1921	b3512	b1923
b3512	b1434	b1712 // b0912	b1921	b3512	b3212
b3512	b1434	b1712 // b0912	b1921	b3512	b3213
b3512	b1434	b1712 // b0912	b1921	b3512	b3214
b3512	b1434	b4178	b1921	b3512	b0889
b3512	b1040	b0294	b1921	b3512	b1923
b3512	b1040	b4178	b1921	b3512	b0889
b3512	b0294	b1712 // b0912	b1921	b3512	b3212
b3512	b0294	b1712 // b0912	b1921	b3512	b3213
b3512	b0294	b1712 // b0912	b1921	b3512	b3214
b3512	b0294	b4178	b1921	b3512	b0889
b3512	b4178	b0294	b1921	b3512	b1923
b3512	b4178	b0912	b1921	b3512	b3212
b3512	b4178	b0912	b1921	b3512	b3213
b3512	b4178	b0912	b1921	b3512	b3214
b3512	b3556	b1954	b1237	b3512	b0889
b3512	b3261	b1954	b1237	b3512	b0889
b3512	b1954	b3261	b1237	b3512	b0428
b3512	b1954	b3261	b1237	b3512	b0429
