R	U	V	W	X	Y
b0399	b1334	b0889	b1988	b3516	b3508
b0399	b1334	b0889	b1988	b3516	b3509
b0399	b1334	b0889	b1988	b3516	b3510
b3512	b4116	b1988	b3516	b3516	b1583
b3512	b4116	b2664 // b2217 // b3515 // b1237	b3516	b3516	b3507
b3512	b4116	b2217 // b3515 // b1237	b3516	b3516	b3506
b3512	b4116	b4452 // b0399 // b2664 // b1013 // b1237 // b1334	b3516	b3516	b3515
b3512	b4116	b2217 // b3515	b3516	b3516	b4452
b3512	b4116	b4401 // b3357 // b3515 // b1237	b3516	b3516	b4718
b3512	b4116	b3357 // b3515 // b1237	b3516	b3516	b3514
b3512	b4116	b3357 // b3515 // b1237 // b1988	b3516	b3516	b3513
b3512	b4116	b4401 // b3357 // b3515 // b1237 // b1988	b3516	b3516	b3512
b3512	b4116	b2217 // b1237	b3516	b3516	b3511
b3512	b4116	b4401 // b2217 // b1237	b3516	b3516	b4131
b3512	b4116	b4401 // b2217 // b1237	b3516	b3516	b4132
b3512	b4116	b3261	b3516	b3516	b1237
b3512	b4116	b4401 // b3357	b3516	b3516	b2741
b3512	b4116	b1334	b3516	b3516	b0451
b3512	b4116	b1334	b3516	b3516	b0450
b3512	b4116	b2217 // b0995 // b3515 // b1237	b3516	b3516	b3508
b3512	b4116	b2217 // b0995 // b3515 // b1237	b3516	b3516	b3509
b3512	b4116	b2217 // b0995 // b3515 // b1237	b3516	b3516	b3510
b3512	b0399	b1988	b3516	b3516	b1583
b3512	b0399	b2664 // b2217 // b3515 // b1237	b3516	b3516	b3507
b3512	b0399	b2217 // b3515 // b1237	b3516	b3516	b3506
b3512	b0399	b2217 // b3515	b3516	b3516	b4452
b3512	b0399	b4401 // b3357 // b3515 // b1237	b3516	b3516	b4718
b3512	b0399	b3357 // b3515 // b1237	b3516	b3516	b3514
b3512	b0399	b3357 // b3515 // b1237 // b1988	b3516	b3516	b3513
b3512	b0399	b4401 // b3357 // b3515 // b1237 // b1988	b3516	b3516	b3512
b3512	b0399	b2217 // b1237	b3516	b3516	b3511
b3512	b0399	b4401 // b2217 // b1237	b3516	b3516	b4131
b3512	b0399	b4401 // b2217 // b1237	b3516	b3516	b4132
b3512	b0399	b3261	b3516	b3516	b1237
b3512	b0399	b4401 // b3357	b3516	b3516	b2741
b3512	b0399	b4116 // b4401 // b2217 // b3261 // b0995 // b3357 // b3515 // b1237 // b1334	b3516	b3516	b3517
b3512	b0399	b4116 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1492
b3512	b0399	b4116 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1493
b3512	b0399	b1334	b3516	b3516	b0451
b3512	b0399	b1334	b3516	b3516	b0450
b3512	b0399	b2217 // b0995 // b3515 // b1237	b3516	b3516	b3508
b3512	b0399	b2217 // b0995 // b3515 // b1237	b3516	b3516	b3509
b3512	b0399	b2217 // b0995 // b3515 // b1237	b3516	b3516	b3510
b3512	b2664	b1988	b3516	b3516	b1583
b3512	b2664	b2217 // b3515 // b1237	b3516	b3516	b3506
b3512	b2664	b2217 // b3515	b3516	b3516	b4452
b3512	b2664	b4401 // b3357 // b3515 // b1237	b3516	b3516	b4718
b3512	b2664	b3357 // b3515 // b1237	b3516	b3516	b3514
b3512	b2664	b3357 // b3515 // b1237 // b1988	b3516	b3516	b3513
b3512	b2664	b4401 // b3357 // b3515 // b1237 // b1988	b3516	b3516	b3512
