Cause	Effect	Regulators	Mediators
b3512	b1190	b3357	b0889
b3512	b1189	b3357	b0889
b3512	b0907	b3357	b0889
b3512	b0908	b3357	b0889
b3512	b0077		b0889
b3512	b0078		b0889
b3512	b2670		b0889
b3512	b1798		b0889
b3512	b3572		b0889
b3512	b2290		b0889
b3512	b2923		b0889
b3512	b2211		b0889
b3512	b3212	b3357	b0889
b3512	b3213	b3357	b0889
b3512	b3214	b3357	b0889
b3512	b3508	b1921 // b3515 // b3516 // b1130	b0889
b3512	b3509	b1921 // b3515 // b3516 // b1130	b0889
b3512	b3510	b1921 // b3515 // b3516 // b1130	b0889
b3512	b3272		b0889
b3512	b3273		b0889
b3512	b3274		b0889
b3512	b3275		b0889
b3512	b3276		b0889
b3512	b3277		b0889
b3512	b3278		b0889
b3512	b0205		b0889
b3512	b0204		b0889
b3512	b0203		b0889
b3512	b0202		b0889
b3512	b0201		b0889
b3512	b2588		b0889
b3512	b2589		b0889
b3512	b2590		b0889
b3512	b2591		b0889
b3512	b4010		b0889
b3512	b4009		b0889
b3512	b4008		b0889
b3512	b4007		b0889
b3512	b3759		b0889
b3512	b3758		b0889
b3512	b3757		b0889
b3512	b3756		b0889
b3512	b3855		b0889
b3512	b3854		b0889
b3512	b3853		b0889
b3512	b3852		b0889
b3512	b3851		b0889
b3512	b2913	b3357	b0889
b3512	b2663	b3357	b0889
b3512	b2662	b3357	b0889
b3512	b2661	b3357	b0889
b3512	b2660	b3357	b0889
b3512	b2659	b3357 // b4401	b0889
b3512	b2163		b0889
b3512	b3460		b0889
b3512	b4439	b4401	b0889
b3512	b3971		b0889
b3512	b3970		b0889
b3512	b3969		b0889
b3512	b3968		b0889
b3512	b4669		b0889
b3512	b4488		b0889
b3512	b3772		b0889
b3512	b3771		b0889
b3512	b3770		b0889
b3512	b3769		b0889
b3512	b3766		b0889
b3512	b2215		b0889
b3512	b1634		b3516
b3512	b1584		b3516
b3512	b1583		b3516
b3512	b1497		b3516
b3512	b1498		b3516
b3512	b3967		b3516
b3512	b3966		b3516
b3512	b1333		b3516
b3512	b3507	b1499	b3516
b3512	b3506	b1499	b3516
b3512	b3515	b1499 // b1130	b3516
b3512	b4452		b3516
b3512	b4718	b1921 // b1499 // b2369 // b1130 // b4704	b3516
b3512	b3514	b1921 // b1499 // b2369	b3516
b3512	b3513	b1921 // b1499 // b2369	b3516
b3512	b0486		b3516
b3512	b0485		b3516
b3512	b0674		b3516
b3512	b3511	b1130	b3516
b3512	b4131		b3516
b3512	b4132		b3516
b3512	b1237		b3516
b3512	b2741		b3516
b3512	b0439		b3516
b3512	b3517		b3516
b3512	b1492	b1921	b3516
b3512	b1493	b1921	b3516
b3512	b0451		b3516
b3512	b0450		b3516
b3512	b3508	b1921 // b1130	b3516
b3512	b3509	b1921 // b1130	b3516
b3512	b3510	b1921 // b1130	b3516
