Cause	Effect	Regulators	Mediators
b1988	b3454		b0889
b1988	b3455		b0889
b1988	b3456		b0889
b1988	b3457		b0889
b1988	b3458		b0889
b1988	b4313		b0889
b1988	b4317		b0889
b1988	b4320		b0889
b1988	b4319		b0889
b1988	b4318		b0889
b1988	b4316		b0889
b1988	b4315		b0889
b1988	b4314		b0889
b1988	b1190		b0889
b1988	b1189		b0889
b1988	b0907		b0889
b1988	b0908		b0889
b1988	b0077		b0889
b1988	b0078		b0889
b1988	b2670		b0889
b1988	b1798		b0889
b1988	b3572		b0889
b1988	b2290		b0889
b1988	b2923		b0889
b1988	b2211		b0889
b1988	b3212	b1334 // b0683	b0889
b1988	b3213	b1334 // b0683	b0889
b1988	b3214	b1334 // b0683	b0889
b1988	b3508		b0889
b1988	b3509		b0889
b1988	b3510		b0889
b1988	b3272		b0889
b1988	b3273		b0889
b1988	b3274		b0889
b1988	b3275		b0889
b1988	b3276		b0889
b1988	b3277		b0889
b1988	b3278		b0889
b1988	b0205		b0889
b1988	b0204		b0889
b1988	b0203		b0889
b1988	b0202		b0889
b1988	b0201		b0889
b1988	b2588		b0889
b1988	b2589		b0889
b1988	b2590		b0889
b1988	b2591		b0889
b1988	b4010		b0889
b1988	b4009		b0889
b1988	b4008		b0889
b1988	b4007		b0889
b1988	b3759		b0889
b1988	b3758		b0889
b1988	b3757		b0889
b1988	b3756		b0889
b1988	b3855		b0889
b1988	b3854		b0889
b1988	b3853		b0889
b1988	b3852		b0889
b1988	b3851		b0889
b1988	b2913		b0889
b1988	b2663		b0889
b1988	b2662		b0889
b1988	b2661		b0889
b1988	b2660		b0889
b1988	b2659		b0889
b1988	b2163	b1334	b0889
b1988	b3460		b0889
b1988	b4439		b0889
b1988	b3971		b0889
b1988	b3970		b0889
b1988	b3969		b0889
b1988	b3968		b0889
b1988	b4669		b0889
b1988	b4488		b0889
b1988	b3772		b0889
b1988	b3771		b0889
b1988	b3770		b0889
b1988	b3769		b0889
b1988	b3766		b0889
b1988	b2215		b0889
b1988	b0644		b0076
b1988	b3214	b1334 // b0683	b0076
b1988	b2985		b0076
b1988	b2984		b0076
b1988	b2760		b0076
b1988	b2759		b0076
b1988	b2758		b0076
b1988	b2757		b0076
b1988	b2756		b0076
b1988	b2755		b0076
b1988	b2754		b0076
b1988	b1954		b0076
b1988	b4366		b0076
b1988	b4365		b0076
b1988	b4133	b1334	b0076
b1988	b3721		b0076
b1988	b3722		b0076
b1988	b3723		b0076
b1988	b0071		b0076
b1988	b0072		b0076
b1988	b0073		b0076
b1988	b0074		b0076
b1988	b0075		b0076
b1988	b3686		b3687
b1988	b0688		b4000
b1988	b0687		b4000
b1988	b3161	b0889	b4000
b1988	b1907	b0889	b4000
b1988	b4439	b0889	b4000
b1988	b0756		b4000
b1988	b0757		b4000
b1988	b0758		b4000
b1988	b0759		b4000
b1988	b1817		b4172
b1988	b2733		b4172
b1988	b2155	b0683	b4172
b1988	b2542		b2537
b1988	b2541		b2537
b1988	b2540		b2537
b1988	b2539		b2537
