Cause	Effect	Regulators	Mediators
b3357	b1623		b3753
b3357	b1920		b1040
b3357	b1921		b1040
b3357	b1922		b1040
b3357	b1070		b1040
b3357	b1071		b1040
b3357	b1004		b1040
b3357	b1003		b1040
b3357	b3661		b1040
b3357	b0964		b1040
b3357	b1937		b1040
b3357	b1943		b1040
b3357	b1942		b1040
b3357	b1941		b1040
b3357	b1940		b1040
b3357	b1939		b1040
b3357	b1938		b1040
b3357	b3156		b1040
b3357	b3157		b1040
b3357	b0382		b1040
b3357	b0385		b1040
b3357	b0237		b1040
b3357	b1037		b1040
b3357	b1038		b1040
b3357	b1039		b1040
b3357	b1043		b1040
b3357	b1041		b1040
b3357	b1042		b1040
b3357	b1621		b1620
b3357	b1622		b1620
b3357	b4367		b0683
b3357	b0150		b0683
b3357	b0151		b0683
b3357	b0152		b0683
b3357	b0153		b0683
b3357	b4287		b0683
b3357	b4288		b0683
b3357	b4289		b0683
b3357	b4290		b0683
b3357	b4291		b0683
b3357	b0583		b0683
b3357	b0584		b0683
b3357	b3410		b0683
b3357	b3408		b0683
b3357	b3409		b0683
b3357	b1679		b0683
b3357	b1680		b0683
b3357	b1681		b0683
b3357	b1682		b0683
b3357	b1683		b0683
b3357	b1684		b0683
b3357	b4707		b0683
b3357	b1256		b0683
b3357	b4063		b0683
b3357	b4062		b0683
b3357	b3212		b0683
b3357	b3213		b0683
b3357	b3214		b0683
b3357	b3070		b0683
b3357	b2579	b3261	b0683
b3357	b2029		b0683
b3357	b1988		b0683
b3357	b1852	b0080	b0683
b3357	b1761		b0683
b3357	b1611		b0683
b3357	b1334		b0683
b3357	b0451		b0683
b3357	b0450		b0683
b3357	b1109	b3261	b0683
b3357	b0928		b0683
b3357	b0167		b0683
b3357	b0116	b3261 // b0080	b0683
b3357	b1821		b0683
b3357	b1062		b0683
b3357	b3123	b3261	b0683
b3357	b3124		b0683
b3357	b3125		b0683
b3357	b3126		b0683
b3357	b3127		b0683
b3357	b4567		b0683
b3357	b3335		b0683
b3357	b3334		b0683
b3357	b3333		b0683
b3357	b3332		b0683
b3357	b3331		b0683
b3357	b3330		b0683
b3357	b3329		b0683
b3357	b3328		b0683
b3357	b3327		b0683
b3357	b3326		b0683
b3357	b3325		b0683
b3357	b3324		b0683
b3357	b1243		b0683
b3357	b1244		b0683
b3357	b1245		b0683
b3357	b1246		b0683
b3357	b1247		b0683
b3357	b3942		b0683
b3357	b2741		b0683
b3357	b1732	b3261	b0683
b3357	b1905		b0683
b3357	b2107		b0683
b3357	b2106		b0683
b3357	b4019		b0683
b3357	b0929		b0683
b3357	b2155		b0683
b3357	b0592		b0683
b3357	b0588		b0683
b3357	b0589		b0683
b3357	b0590		b0683
b3357	b0593		b0683
b3357	b0594		b0683
b3357	b0595		b0683
b3357	b0596		b0683
b3357	b0597		b0683
b3357	b3908		b0683
b3357	b1891		b0683
b3357	b1892		b0683
b3357	b1658		b0683
b3357	b1252		b0683
b3357	b4292		b0683
b3357	b4293		b0683
b3357	b4122	b3261	b0683
b3357	b0428	b3261 // b0080	b0683
b3357	b0429	b3261 // b0080	b0683
b3357	b0430	b3261 // b0080	b0683
b3357	b0431	b3261 // b0080	b0683
b3357	b0432	b3261 // b0080	b0683
b3357	b4764		b0683
b3357	b0721		b0683
b3357	b0722		b0683
b3357	b0723		b0683
b3357	b0724		b0683
b3357	b0726		b0683
b3357	b0727		b0683
b3357	b0728		b0683
b3357	b0729		b0683
b3357	b3441		b0683
b3357	b1546		b0683
b3357	b1547		b0683
b3357	b1548		b0683
b3357	b2392		b0683
b3357	b0755		b0683
b3357	b4451		b0683
b3357	b2671		b0683
b3357	b1102		b0683
b3357	b3938		b0683
b3357	b0805		b0683
b3357	b3006		b0683
b3357	b3005		b0683
b3357	b2673		b0683
b3357	b2674		b0683
b3357	b2676		b0683
b3357	b2675		b0683
b3357	b4511		b0683
b3357	b0585		b0683
b3357	b0586		b0683
b3357	b0587		b0683
b3357	b1973		b0683
b3357	b0591		b0683
b3357	b2552		b0683
b3357	b1036		b3934
b3357	b4381	b3261	b3934
b3357	b4382	b3261	b3934
b3357	b4383	b3261	b3934
b3357	b4384	b3261	b3934
b3357	b0411		b3934
b3357	b3363		b3934
b3357	b2964		b3934
b3357	b3461		b3934
b3357	b2393		b3934
b3357	b2143		b3934
b3357	b3831		b3934
b3357	b0044		b0034
b3357	b0043		b0034
b3357	b0042		b0034
b3357	b0041		b0034
b3357	b0035		b0034
b3357	b0036		b0034
b3357	b0037		b0034
b3357	b0038		b0034
b3357	b0039		b0034
b3357	b0040		b0034
b3357	b0096		b0113
b3357	b0095		b0113
b3357	b0094		b0113
b3357	b0093		b0113
b3357	b0092		b0113
b3357	b0091		b0113
b3357	b0090		b0113
b3357	b0089		b0113
b3357	b0088		b0113
b3357	b0087		b0113
b3357	b0086		b0113
b3357	b0085		b0113
b3357	b0084		b0113
b3357	b0083		b0113
b3357	b0082		b0113
b3357	b0081		b0113
b3357	b2975		b0113
b3357	b2976		b0113
b3357	b2977		b0113
b3357	b4467		b0113
b3357	b4468		b0113
b3357	b2979		b0113
b3357	b0154		b0113
b3357	b0461		b0113
b3357	b0460		b0113
b3357	b0428	b3261	b0113
b3357	b0429	b3261	b0113
b3357	b0430	b3261	b0113
b3357	b0431	b3261	b0113
b3357	b0432	b3261	b0113
b3357	b1109	b3261	b0113
b3357	b2579	b3261	b0113
b3357	b4287		b0113
b3357	b4288		b0113
b3357	b4289		b0113
b3357	b4290		b0113
b3357	b4291		b0113
b3357	b0114		b0113
b3357	b0115		b0113
b3357	b0116	b3261	b0113
b3357	b1733		b1735
b3357	b1734		b1735
b3357	b1736		b1735
b3357	b1737		b1735
b3357	b1738		b1735
b3357	b4133		b3405
b3357	b4131		b3405
b3357	b4132		b3405
b3357	b4803		b3405
b3357	b0692		b3405
b3357	b0693		b3405
b3357	b3410		b3405
b3357	b3408		b3405
b3357	b3409		b3405
b3357	b3364		b3405
b3357	b3035		b3405
b3357	b3089		b3405
b3357	b4396		b3405
b3357	b0813		b3405
b3357	b0113	b0080	b3405
b3357	b0814		b3405
b3357	b1469		b3405
b3357	b1677		b3405
b3357	b0222		b3405
b3357	b0221		b3405
b3357	b0464		b3405
b3357	b2215		b3405
b3357	b1021		b3405
b3357	b1022		b3405
b3357	b1023		b3405
b3357	b1024		b3405
b3357	b4445		b3405
b3357	b4444		b3405
b3357	b1634		b3405
b3357	b4411		b3405
b3357	b1480	b3261	b3405
b3357	b1891		b3405
b3357	b1892		b3405
b3357	b1037	b0080	b3405
b3357	b1038	b0080	b3405
b3357	b1039	b0080	b3405
b3357	b1040	b0080	b3405
b3357	b4439		b3405
b3357	b0553		b3405
b3357	b0435		b3405
b3357	b0929		b3405
b3357	b2344		b3405
b3357	b4031		b3569
b3357	b0064		b3569
b3357	b3566		b3569
b3357	b3567		b3569
b3357	b3568		b3569
b3357	b3564		b3569
b3357	b3565		b3569
b3357	b0688		b4000
b3357	b0687		b4000
b3357	b3161		b4000
b3357	b1907		b4000
b3357	b4439		b4000
b3357	b0756		b4000
b3357	b0757		b4000
b3357	b0758		b4000
b3357	b0759		b4000
b3357	b1634		b3516
b3357	b1584		b3516
b3357	b1583		b3516
b3357	b1497		b3516
b3357	b1498		b3516
b3357	b3967		b3516
b3357	b3966		b3516
b3357	b1333		b3516
b3357	b3507		b3516
b3357	b3506		b3516
b3357	b3515		b3516
b3357	b4452		b3516
b3357	b4718		b3516
b3357	b3514		b3516
b3357	b3513		b3516
b3357	b3512		b3516
b3357	b0486		b3516
b3357	b0485		b3516
b3357	b0674		b3516
b3357	b3511		b3516
b3357	b4131		b3516
b3357	b4132		b3516
b3357	b1237		b3516
b3357	b2741		b3516
b3357	b0439		b3516
b3357	b3517		b3516
b3357	b1492		b3516
b3357	b1493		b3516
b3357	b0451		b3516
b3357	b0450		b3516
b3357	b3508		b3516
b3357	b3509		b3516
b3357	b3510		b3516
b3357	b3577		b3574
b3357	b3583		b3574
b3357	b3582		b3574
b3357	b3581		b3574
b3357	b3580		b3574
b3357	b3579		b3574
b3357	b3578		b3574
b3357	b3576		b3574
b3357	b3575		b3574
b3357	b1386		b1384
b3357	b1385		b1384
b3357	b0688		b0440
b3357	b0687		b0440
b3357	b3161		b0440
b3357	b1907		b0440
b3357	b4439		b0440
b3357	b0756		b0440
b3357	b0757		b0440
b3357	b0758		b0440
b3357	b0759		b0440
b3357	b2492		b2491
b3357	b2490		b2491
b3357	b2489		b2491
b3357	b2488		b2491
b3357	b2487		b2491
b3357	b2486		b2491
b3357	b2485		b2491
b3357	b2484		b2491
b3357	b2483		b2491
b3357	b2482		b2491
b3357	b2481		b2491
b3357	b1101	b3261	b1594
b3357	b1817	b0080	b1594
b3357	b1818	b0080	b1594
b3357	b1819	b0080	b1594
b3357	b3418		b1594
b3357	b2415	b0080	b1594
b3357	b2416	b0080	b1594
b3357	b2417	b0080	b1594
b3357	b1593		b1594
b3357	b3280		b4004
b3357	b3281		b4004
b3357	b3282		b4004
b3357	b3283		b4004
b3357	b4402		b4004
b3357	b1557		b4004
b3357	b4003		b4004
b3357	b4002		b4004
b3357	b4231		b0064
b3357	b4230		b0064
b3357	b4485		b0064
b3357	b4227		b0064
b3357	b1497		b0064
b3357	b1498		b0064
b3357	b3564		b0064
b3357	b3565		b0064
b3357	b2840		b0064
b3357	b2841		b0064
b3357	b4460		b0064
b3357	b1900		b0064
b3357	b1901		b0064
b3357	b0396		b0064
b3357	b0061		b0064
b3357	b0062		b0064
b3357	b0063		b0064
b3357	b4725		b3868
b3357	b2570		b3868
b3357	b2571		b3868
b3357	b2572		b3868
b3357	b2573		b3868
b3357	b3073		b3868
b3357	b2784		b3868
b3357	b1744		b3868
b3357	b1745		b3868
b3357	b1746		b3868
b3357	b1747		b3868
b3357	b1748		b3868
b3357	b0854		b3868
b3357	b0855		b3868
b3357	b0856		b3868
b3357	b0857		b3868
b3357	b1483		b3868
b3357	b1484		b3868
b3357	b1485		b3868
b3357	b1486		b3868
b3357	b1487		b3868
b3357	b1488		b3868
b3357	b3271		b3868
b3357	b3270		b3868
b3357	b3269		b3868
b3357	b3268		b3868
b3357	b1784		b3868
b3357	b1783		b3868
b3357	b2306		b3868
b3357	b2307		b3868
b3357	b2308		b3868
b3357	b2309		b3868
b3357	b2310		b3868
b3357	b1012		b3868
b3357	b1011		b3868
b3357	b1010		b3868
b3357	b1009		b3868
b3357	b1008		b3868
b3357	b1007		b3868
b3357	b1006		b3868
b3357	b1987		b3868
b3357	b0809		b3868
b3357	b0810		b3868
b3357	b0811		b3868
b3357	b1988		b3868
b3357	b0451		b3868
b3357	b0450		b3868
b3357	b3869		b3868
b3357	b3870		b3868
b3357	b2148	b3261	b2151
b3357	b2149	b3261	b2151
b3357	b2150		b2151
b3357	b2943		b2151
b3357	b2837		b2151
b3357	b0756		b2151
b3357	b0757		b2151
b3357	b0758		b2151
b3357	b0759		b2151
b3357	b3700		b3261
b3357	b3701		b3261
b3357	b3702		b3261
b3357	b3556		b3261
b3357	b2507		b3261
b3357	b2508		b3261
b3357	b2400		b3261
b3357	b1797		b3261
b3357	b1796		b3261
b3357	b1335		b3261
b3357	b0812		b3261
b3357	b0428	b0080	b3261
b3357	b0429	b0080	b3261
b3357	b0430	b0080	b3261
b3357	b0431	b0080	b3261
b3357	b0432	b0080	b3261
b3357	b2912		b3261
b3357	b2911		b3261
b3357	b0999		b3261
b3357	b1000		b3261
b3357	b3230		b3261
b3357	b3231		b3261
b3357	b1421		b3261
b3357	b3073		b3261
b3357	b2957		b3261
b3357	b3123		b3261
b3357	b2864		b3261
b3357	b0809		b3261
b3357	b3868		b3261
b3357	b3869		b3261
b3357	b3870		b3261
b3357	b2980	b0080	b3261
b3357	b2967		b3261
b3357	b2781		b3261
b3357	b2782		b3261
b3357	b2783		b3261
b3357	b2588		b3261
b3357	b2589		b3261
b3357	b2590		b3261
b3357	b2591		b3261
b3357	b2579		b3261
b3357	b2401		b3261
b3357	b2402		b3261
b3357	b2403		b3261
b3357	b2404		b3261
b3357	b2396		b3261
b3357	b2397		b3261
b3357	b2348		b3261
b3357	b2276		b3261
b3357	b2277		b3261
b3357	b2278		b3261
b3357	b2279		b3261
b3357	b2280		b3261
b3357	b2281		b3261
b3357	b2282		b3261
b3357	b2283		b3261
b3357	b2284		b3261
b3357	b2285		b3261
b3357	b2286		b3261
b3357	b2287		b3261
b3357	b2288		b3261
b3357	b2241		b3261
b3357	b2242		b3261
b3357	b2243		b3261
b3357	b2239		b3261
b3357	b2240		b3261
b3357	b2236		b3261
b3357	b2234		b3261
b3357	b2235		b3261
b3357	b2231		b3261
b3357	b2189		b3261
b3357	b2148		b3261
b3357	b2149		b3261
b3357	b1739		b3261
b3357	b1732		b3261
b3357	b1566		b3261
b3357	b1552		b3261
b3357	b1530	b0080	b3261
b3357	b1531	b0080	b3261
b3357	b1532	b0080	b3261
b3357	b1492		b3261
b3357	b1493		b3261
b3357	b1480		b3261
b3357	b1274		b3261
b3357	b1241	b0080	b3261
b3357	b1237		b3261
b3357	b1229		b3261
b3357	b1230		b3261
b3357	b1231		b3261
b3357	b1032		b3261
b3357	b1224		b3261
b3357	b1225		b3261
