Effect	Mediator	Causes	Regulators
EG11544	EG12243	EG12242 // EG11544	G0-10694 // EG11609 // EG11356 // EG10731 // G6789
EG10510	EG12243	G7072 // EG10325 // EG10317	EG10230 // G7047 // EG10359
EG11490	EG12243	G7072 // EG12242 // EG11544 // G0-8914	EG11356 // EG10547
EG11821	EG12243	G7072 // EG10325	EG10385 // EG10359
EG12191	EG12243	G7072 // EG10325 // EG12242 // G0-8914	EG10385 // EG10547 // EG10359
EG11400	EG12243	G7072 // EG12242 // EG11544 // G0-8914	EG11356 // EG10731 // EG10547
EG11399	EG12243	G7072 // EG12242 // EG11544 // G0-8914	EG11356 // EG10731 // EG10547
EG11398	EG12243	G7072 // EG12242 // EG11544 // G0-8914	EG11356 // EG10731 // EG10547
G0-17082	EG10562	EG10547 // EG10164	EG10317 // EG10457
EG10556	EG10562	EG10547 // EG10164	EG10317 // EG10457
EG10555	EG10562	EG10547 // EG10164	EG10317 // EG10457
EG10554	EG10562	EG10547 // EG10164	EG10317 // EG10457
EG10841	EG10319	EG10820 // EG10672 // EG11356	EG10320 // G7072
EG11781	EG10319	EG10440 // EG11356 // EG10164 // EG10457	EG10317 // EG10320 // EG11212
EG11945	EG10319	EG10440 // EG11356 // EG10164 // EG10457	EG10317 // EG10320 // EG11212
EG11946	EG10319	EG10440 // EG11356 // EG10164 // EG10457	EG10317 // EG10320 // EG11212
EG11947	EG10319	EG10440 // EG11356 // EG10164 // EG10457	EG10317 // EG10320 // EG11212
EG11948	EG10319	EG10440 // EG11356 // EG10164 // EG10457	EG10317 // EG10320 // EG11212
EG11949	EG10319	EG10440 // EG10820 // EG10672 // EG11356 // EG10164 // EG10457	EG10317 // EG10320 // G7072 // EG11212
EG11950	EG10319	EG10440 // EG10820 // EG10672 // EG11356 // EG10164 // EG10457	EG10317 // EG10320 // G7072 // EG11212
EG10576	EG10319	EG11356 // G0-8871	EG10061 // EG10320
EG10594	EG10319	EG11356 // EG10164 // EG10457	EG10317 // EG10320
EG10592	EG10319	EG10820 // EG10672 // EG11356 // G7947 // EG10164 // EG10457	EG10317 // EG12386 // EG10320 // G7072
EG10593	EG10319	EG10820 // EG10672 // EG11356	EG10320 // G7072
G7039	EG10319	EG10440 // EG11356	EG10320 // G6745 // G6546 // EG11212
EG11356	EG10319	EG10440 // EG11356	EG10320 // G6745 // G6546 // EG11212
EG11355	EG10319	EG10440 // EG12123 // EG11356 // G7575	EG10320 // G6745 // G6546 // EG10547 // EG11212
EG11551	EG10319	EG11356 // EG10164	EG10338 // EG10320
EG12052	EG10319	EG10820 // EG10672 // EG11356	EG10320 // G7072
EG12058	EG10319	EG10820 // EG10672 // EG11356	EG10320 // G7072
EG12059	EG10319	EG10820 // EG10672 // EG11356	EG10320 // G7072
EG12060	EG10319	EG10820 // EG10672 // EG11356	EG10320 // G7072
EG12061	EG10319	EG10820 // EG10672 // EG11356	EG10320 // G7072
EG12068	EG10319	EG12123 // EG11356 // G7575	EG10320 // EG10547
EG10391	EG10319	EG11356 // G0-8871 // EG10164 // EG10457	EG10317 // EG10061 // EG10320
EG10392	EG10319	EG11356 // G0-8871 // EG10164 // EG10457	EG10317 // EG10061 // EG10320
EG10393	EG10319	EG11356 // G0-8871 // EG10164 // EG10457	EG10317 // EG10061 // EG10320
