TF	Target	Regulation
b3306	b3306	-
b3306	b3307	-
b3306	b3308	-
b3306	b3309	-
b3306	b3310	-
b1988	b0410	-
b1988	b0220	+
b2664	b3698	+
b2624	b2622	+
b0272	b0267	-
b0272	b0266	-
b0272	b4505	-
b3357	b1445	-
b1988	b1445	-
b1988	b4501	+
b1988	b0224	+
b4046	b1178	-
b1422	b2331	+
b0846	b0846	+
b0846	b0846	+
b2664	b2347	-
b1988	b2849	+
b2696	b0785	+
b2696	b0784	+
b2696	b0783	+
b2696	b0782	+
b2696	b0781	+
b2696	b0785	+
b2696	b0784	+
b2696	b0783	+
b2696	b0782	+
b2696	b0781	+
b2664	b0965	-
b1988	b4256	+
b1988	b3471	+
b1988	b1053	-
b1988	b3104	-
b1988	b3267	-
b1988	b1835	-
b1988	b0379	-
b1988	b4141	-
b1988	b3211	+
b3237	b3211	-
b4398	b3690	+
b1988	b1895	+
b1988	b4375	-
b1988	b2921	-
b1988	b0769	-
b1988	b3842	+
b1988	b1604	-
b1988	b0544	+
b2664	b4251	-
b0911	b3165	+
b3165	b3165	-
b4401	b2587	-
b1988	b3551	+
b1988	b0193	-
b1988	b2734	-
b3105	b3039	+
b2664	b3909	-
b1988	b1538	+
b1988	b1534	+
b1434	b1433	-
b1356	b1362	-
b1356	b1361	-
b1356	b1360	-
b1356	b1359	-
b1356	b1358	-
b1356	b1357	-
b1356	b1362	-
b1356	b1361	-
b1356	b1360	-
b1356	b1359	-
b1356	b1358	-
b1356	b1357	-
b1356	b1362	-
b1356	b1361	-
b1356	b1360	-
b1356	b1359	-
b1356	b1358	-
b1356	b1357	-
b1356	b1362	-
b1356	b1361	-
b1356	b1360	-
b1356	b1359	-
b1356	b1358	-
b1356	b1357	-
b4398	b3716	+
b1988	b3716	-
b0076	b3214	-
b1988	b3406	-
b1988	b3552	-
b1988	b0364	+
b1988	b3446	+
b1084	b1084	-
b2664	b0141	+
b2696	b0834	-
b2696	b0833	-
b1988	b3369	-
b3105	b3101	+
b3357	b0328	+
b1988	b3561	+
b1988	b2971	+
b3105	b3105	+
b4398	b3034	+
b4398	b3033	+
b4398	b3032	+
b4398	b3031	+
b4398	b3030	+
b3687	b3686	-
b1988	b0581	+
b1988	b4066	+
b3687	b3686	-
b3687	b3687	-
b0357	b0357	-
b0357	b0356	-
b0357	b0355	-
b1328	b1326	-
b1988	b2625	-
b2696	b1021	-
b2696	b1022	-
b2696	b1023	-
b2696	b1024	-
b2696	b1021	-
b2696	b1022	-
b2696	b1023	-
b2696	b1024	-
b0145	b2696	+
b0118	b0118	+
b1988	b2986	-
b1988	b3895	-
b1988	b0211	-
b3357	b1339	+
b1988	b1339	-
b2696	b1025	-
b2696	b1025	-
b1988	b2372	+
b1988	b0992	-
b1988	b0938	+
b1642	b0938	+
b2185	b2185	-
